Star;RA;December;V;B-V;U-B;V-R;R-I;V-I
TPHE A;00:30:09;-46:31:22;14.651;793;380;435;405;841
TPHE B;00:30:16;-46:27:55;12.334;405;156;262;271;535
TPHE C;00:30:17;-46:32:34;14.376;-298;-1.217;-148;-211;-360
TPHE D;00:30:18;-46:31:11;13.118;1.551;1.871;849;810;1.663
TPHE E;00:30:19;-46:24:36;11.630;443;-103;276;283;564
TPHE F;00:30:50;-46:33:33;12.474;855;532;492;435;926
TPHE G;00:31:05;-46:22:43;10.442;1.546;1.915;934;1.085;2.025
PG0029+024;00:31:50;+02:38:26;15.268;362;-184;251;337;593
PG0039+049;00:42:05;+05:09:44;12.877;-19;-871;67;97;164
92 309;00:53:14;+00:46:06;13.842;513;-24;326;325;652
92 235;00:53:16;+00:36:22;10.595;1.638;1.984;894;911;1.806
92 322;00:53:47;+00:47:41;12.676;528;-2;302;305;608
92 245;00:54:16;+00:39:56;13.818;1.418;1.189;929;907;1.836
92 248;00:54:31;+00:40:20;15.346;1.128;1.289;690;553;1.245
92 249;00:54:34;+00:41:10;14.325;699;240;399;370;770
92 250;00:54:37;+00:39:01;13.178;814;480;446;394;840
92 330;00:54:44;+00:43:31;15.073;568;-115;331;334;666
92 252;00:54:48;+00:39:28;14.932;517;-140;326;332;666
92 253;00:54:52;+00:40:24;14.085;1.131;955;719;616;1.337
92 335;00:55:00;+00:44:18;12.523;672;208;380;338;719
92 339;00:55:03;+00:44:16;15.579;449;-177;306;339;645
92 342;00:55:10;+00:43:19;11.613;436;-42;266;270;538
92 188;00:55:10;+00:23:17;14.751;1.050;751;679;573;1.254
92 409;00:55:14;+00:56:12;10.627;1.138;1.136;734;625;1.361
92 410;00:55:15;+01:01:54;14.984;398;-134;239;242;484
92 412;00:55:16;+01:01:58;15.036;457;-152;285;304;589
92 259;00:55:22;+00:40:34;14.997;642;108;370;452;821
92 345;00:55:24;+00:51:11;15.216;745;121;465;476;941
92 347;00:55:26;+00:50:53;15.752;543;-97;339;318;658
92 260;00:55:29;+00:37:12;15.071;1.162;1.115;719;608;1.328
92 348;00:55:30;+00:44:39;12.109;598;56;345;341;688
92 417;00:55:32;+00:53:12;15.922;477;-185;351;305;657
92 263;00:55:40;+00:36:23;11.782;1.048;843;563;522;1.087
92 497;00:55:54;+01:11:46;13.642;729;257;404;378;783
92 498;00:55:57;+01:10:44;14.408;1.010;794;648;531;1.181
92 500;00:55:58;+01:10:29;15.841;1.003;211;738;599;1.338
92 425;00:55:59;+00:53:03;13.941;1.191;1.173;755;627;1.384
92 501;00:56:00;+01:10:57;12.958;610;68;345;331;677
92 426;00:56:00;+00:52:58;14.466;729;184;412;396;809
92 355;00:56:06;+00:50:52;14.965;1.164;1.201;759;645;1.406
92 427;00:56:07;+01:00:23;14.953;809;352;462;2.922;3.275
92 502;00:56:08;+01:04:29;11.812;486;-95;284;292;576
92 430;00:56:16;+00:53:21;14.440;567;-40;338;338;676
92 276;00:56:27;+00:41:57;12.036;629;67;368;357;726
92 282;00:56:47;+00:38:34;12.969;318;-38;201;221;422
92 508;00:56:51;+01:09:40;11.679;529;-47;318;320;639
92 507;00:56:51;+01:06:03;11.332;932;688;507;461;969
92 364;00:56:53;+00:44:07;11.673;607;-37;356;357;714
92 433;00:56:54;+01:00:47;11.667;655;110;367;348;716
92 288;00:57:17;+00:36:52;11.630;855;472;489;441;931
F 11;01:04:22;+04:13:37;12.065;-240;-978;-120;-142;-261
F 16;01:54:08;-06:42:54;12.406;-12;9;-3;2;-1
93 407;01:54:37;+00:53:59;11.971;852;564;487;421;908
93 317;01:54:38;+00:43:11;11.546;488;-55;293;298;592
93 333;01:55:05;+00:45:54;12.011;832;436;469;422;892
93 424;01:55:26;+00:56:54;11.620;1.083;943;554;502;1.058
G3 33;02:00:09;+13:04:04;12.298;1.804;1.316;1.355;1.751;3.099
PG0220+132B;02:23:34;+13:28:11;14.216;937;319;562;496;1.058
PG0220+132;02:23:38;+13:27:42;14.760;-132;-922;-50;-120;-170
PG0220+132A;02:23:39;+13:27:37;15.771;783;-339;514;481;995
F 22;02:30:17;+05:15:51;12.799;-54;-806;-103;-105;-207
PG0231+051E;02:33:28;+05:19:48;13.804;677;201;390;369;757
PG0231+051D;02:33:33;+05:19:32;14.027;1.088;1.046;675;586;1.256
PG0231+051A;02:33:40;+05:17:41;12.772;710;270;405;394;799
PG0231+051C;02:33:41;+05:20:22;13.702;671;114;399;385;783
PG0231+051;02:33:41;+05:18:43;16.105;-329;-1.192;-162;-371;-534
PG0231+051B;02:33:45;+05:17:33;14.735;1.448;1.342;954;998;1.951
F 24;02:35:08;+03:43:57;12.411;-203;-1.169;90;364;451
94 171;02:53:38;+00:17:34;12.659;817;304;480;483;964
94 296;02:55:20;+00:28:29;12.255;750;235;415;387;803
94 394;02:56:14;+00:35:25;12.273;545;-47;344;330;676
94 401;02:56:31;+00:40:21;14.293;638;98;389;369;759
94 242;02:57:21;+00:18:54;11.728;301;107;178;184;362
94 251;02:57:46;+00:16:18;11.204;1.219;1.281;659;587;1.247
94 702;02:58:13;+01:11:09;11.594;1.418;1.621;756;673;1.430
GD 50;03:48:50;-00:58:33;14.063;-276;-1.191;-145;-180;-325
95 15;03:52:40;-00:05:03;11.302;712;157;424;385;809
95 301;03:52:41;+00:31:37;11.216;1.290;1.296;692;620;1.311
95 16;03:52:41;-00:04:47;14.313;1.306;1.322;796;676;1.472
95 302;03:52:42;+00:31:37;11.694;825;447;471;420;891
95 96;03:52:54;+00:00:37;10.010;147;72;79;95;174
95 97;03:52:57;-00:00:01;14.818;906;380;522;546;1.068
95 98;03:53:00;+00:03:11;14.448;1.181;1.092;723;620;1.342
95 100;03:53:01;+00:00:31;15.633;791;51;538;421;961
95 101;03:53:04;+00:03:12;12.677;778;263;436;426;863
95 102;03:53:07;+00:01:28;15.622;1.001;162;448;618;1.065
95 252;03:53:11;+00:27:37;15.394;1.452;1.178;816;747;1.566
95 190;03:53:13;+00:16:39;12.627;287;236;195;220;415
95 193;03:53:20;+00:16:50;14.338;1.211;1.239;748;616;1.366
95 105;03:53:21;-00:00:01;13.574;976;627;550;536;1.088
95 107;03:53:25;+00:02:36;16.275;1.324;1.115;947;962;1.907
95 106;03:53:25;+00:01:40;15.137;1.251;369;394;508;903
95 112;03:53:40;-00:00:54;15.502;662;77;605;620;1.227
95 41;03:53:41;-00:02:12;14.060;903;297;589;585;1.176
95 317;03:53:44;+00:30:06;13.449;1.320;1.120;768;708;1.476
95 42;03:53:44;-00:04:08;15.606;-215;-1.111;-119;-180;-300
95 263;03:53:47;+00:26:57;12.679;1.500;1.559;801;711;1.513
95 115;03:53:48;-00:00:29;14.680;836;96;577;579;1.157
95 43;03:53:49;-00:02:42;10.803;510;-16;308;316;624
95 271;03:54:17;+00:19:08;13.669;1.287;916;734;717;1.453
95 328;03:54:19;+00:36:47;13.525;1.532;1.298;908;868;1.776
95 329;03:54:24;+00:37:25;14.617;1.184;1.093;766;642;1.410
95 330;03:54:31;+00:29:23;12.174;1.999;2.233;1.166;1.100;2.268
95 275;03:54:44;+00:27:37;13.479;1.763;1.740;1.011;931;1.944
95 276;03:54:46;+00:26:13;14.118;1.225;1.218;748;646;1.395
95 60;03:54:49;-00:06:46;13.429;776;197;464;449;914
95 218;03:54:50;+00:10:26;12.095;708;208;397;370;767
95 132;03:54:51;+00:05:40;12.064;448;300;259;287;545
95 62;03:55:00;-00:02:36;13.538;1.355;1.181;742;685;1.428
95 137;03:55:04;+00:03:51;14.440;1.457;1.136;893;845;1.737
95 139;03:55:05;+00:03:32;12.196;923;677;562;476;1.039
95 66;03:55:07;-00:09:12;12.892;715;167;426;438;864
95 227;03:55:08;+00:14:54;15.779;771;34;515;552;1.067
95 142;03:55:09;+00:01:39;12.927;588;97;371;375;745
95 74;03:55:31;-00:08:54;11.531;1.126;686;600;567;1.165
95 231;03:55:39;+00:11:02;14.216;452;297;270;290;560
95 284;03:55:44;+00:25:27;13.669;1.398;1.073;818;766;1.586
95 149;03:55:44;+00:07:23;10.938;1.593;1.564;874;811;1.685
95 285;03:55:46;+00:23:59;15.561;937;703;607;602;1.210
95 236;03:56:13;+00:09:02;11.491;736;162;420;411;831
96 21;04:51:16;-00:14:30;12.182;490;-4;299;297;598
96 36;04:51:43;-00:09:51;10.591;247;118;134;136;271
96 737;04:52:35;+00:22:50;11.716;1.334;1.160;733;695;1.428
96 409;04:52:58;+00:09:26;13.778;543;42;340;340;682
96 83;04:52:59;-00:14:22;11.719;179;202;93;97;190
96 235;04:53:19;-00:04:42;11.140;1.074;898;559;510;1.068
G97 42;05:28:01;+09:39:07;12.443;1.639;1.259;1.171;1.485;2.655
G102 22;05:42:05;+12:30:14;11.509;1.621;1.134;1.211;1.590;2.800
GD 71;05:52:28;+15:33:15;13.032;-249;-1.107;-137;-164;-302
97 249;05:57:07;+00:01:34;11.733;648;100;369;353;723
97 42;05:57:09;-00:10:50;12.448;1.626;1.208;1.160;1.485;2.641
97 345;05:57:26;+00:20:48;11.608;1.655;1.680;928;844;1.771
97 351;05:57:37;+00:14:05;9.781;202;96;124;141;264
97 75;05:57:55;-00:09:07;11.483;1.872;2.100;1.047;952;1.999
97 284;05:58:25;+00:05:35;10.788;1.363;1.087;774;725;1.500
97 224;05:58:44;-00:04:50;14.085;910;341;553;547;1.102
98 961;06:51:27;-00:15:15;13.089;1.283;1.003;701;662;1.362
98 966;06:51:29;-00:16:05;14.001;469;357;283;331;613
98 556;06:51:30;-00:24:30;14.137;338;126;196;243;437
98 557;06:51:30;-00:24:45;14.780;1.397;1.072;755;741;1.494
98 562;06:51:31;-00:18:37;12.185;522;-2;305;303;607
98 563;06:51:32;-00:26:04;14.162;416;-190;294;317;610
98 978;06:51:34;-00:11:06;10.572;609;94;349;322;671
98 L1;06:51:39;-00:26:16;15.672;1.243;776;730;712;1.445
98 L2;06:51:40;-00:20:49;15.859;1.340;1.497;754;572;1.327
98 581;06:51:40;-00:25:21;14.556;238;161;118;244;361
98 580;06:51:40;-00:26:21;14.728;367;303;241;305;547
98 L3;06:51:42;-00:14:56;14.614;1.936;1.837;1.091;1.047;2.142
98 L4;06:51:42;-00:16:13;16.332;1.344;1.086;936;785;1.726
98 1002;06:51:43;-00:15:31;14.568;574;-27;354;379;733
98 590;06:51:43;-00:21:59;14.642;1.352;853;753;747;1.500
98 614;06:51:49;-00:20:12;15.674;1.063;399;834;645;1.480
98 618;06:51:50;-00:20:55;12.723;2.192;2.144;1.254;1.151;2.407
98 624;06:51:52;-00:19:54;13.811;791;394;417;404;822
98 626;06:51:53;-00:20:24;14.758;1.406;1.067;806;816;1.624
98 627;06:51:53;-00:21:41;14.900;689;78;428;387;817
98 634;06:51:56;-00:20:35;14.608;647;123;382;372;757
98 642;06:51:59;-00:21:11;15.290;571;318;302;393;697
98 185;06:52:02;-00:26:59;10.536;202;113;109;124;231
98 646;06:52:03;-00:20:56;15.839;1.060;1.426;583;504;1.090
98 193;06:52:04;-00:26:56;10.030;1.180;1.152;615;537;1.153
98 653;06:52:05;-00:17:57;9.539;-4;-99;9;8;17
98 650;06:52:05;-00:19:18;12.271;157;110;80;86;166
98 652;06:52:05;-00:21:36;14.817;611;126;276;339;618
98 666;06:52:10;-00:23:12;12.732;164;-4;91;108;200
98 671;06:52:12;-00:18:00;13.385;968;719;575;494;1.071
98 670;06:52:12;-00:18:55;11.930;1.356;1.313;723;653;1.375
98 676;06:52:14;-00:18:59;13.068;1.146;666;683;673;1.352
98 675;06:52:14;-00:19:19;13.398;1.909;1.936;1.082;1.002;2.085
98 L5;06:52:16;-00:19:17;17.800;1.900;-100;3.100;2.600;5.800
98 682;06:52:17;-00:19:20;13.749;632;98;366;352;717
98 685;06:52:19;-00:19:57;11.954;463;96;290;280;570
98 688;06:52:19;-00:23:12;12.754;293;245;158;180;337
98 1082;06:52:20;-00:13:53;15.010;835;-1;485;619;1.102
98 1087;06:52:21;-00:15:28;14.439;1.595;1.284;928;882;1.812
98 1102;06:52:28;-00:13:21;12.113;314;89;193;195;388
98 1112;06:52:35;-00:15:01;13.975;814;286;443;431;874
98 1119;06:52:37;-00:14:11;11.878;551;69;312;299;611
98 1124;06:52:38;-00:16:12;13.707;315;258;173;201;373
98 1122;06:52:38;-00:16:43;14.090;595;-297;376;442;816
98 724;06:52:38;-00:19:00;11.118;1.104;904;575;527;1.103
98 733;06:52:40;-00:16:54;12.238;1.285;1.087;698;650;1.347
RU 149G;07:24:10;-00:30:49;12.829;541;33;322;322;645
RU 149A;07:24:12;-00:31:47;14.495;298;118;196;196;391
RU 149F;07:24:13;-00:30:01;13.471;1.115;1.025;594;538;1.132
RU 149;07:24:13;-00:31:58;13.866;-129;-779;-40;-68;-108
RU 149D;07:24:14;-00:31:41;11.480;-37;-287;21;8;29
RU 149C;07:24:16;-00:31:20;14.425;195;141;93;127;222
RU 149B;07:24:16;-00:32:01;12.642;662;151;374;354;728
RU 149E;07:24:17;-00:30:11;13.718;522;-7;321;314;637
RU 152F;07:29:51;-02:04:29;14.564;635;69;382;315;689
RU 152E;07:29:51;-02:05:09;12.362;42;-86;30;34;65
RU 152;07:29:55;-02:06:18;13.014;-190;-1.073;-57;-87;-145
RU 152B;07:29:56;-02:05:39;15.019;500;22;290;309;600
RU 152A;07:29:57;-02:06:02;14.341;543;-85;325;329;654
RU 152C;07:29:59;-02:05:18;12.222;573;-13;342;340;683
RU 152D;07:30:03;-02:04:16;11.076;875;491;473;449;921
99 438;07:55:54;-00:16:32;9.398;-155;-725;-59;-81;-141
99 447;07:56:07;-00:20:23;9.417;-67;-225;-32;-41;-74
100 241;08:52:35;-00:39:32;10.139;157;101;78;85;163
100 162;08:53:15;-00:43:12;9.150;1.276;1.497;649;553;1.203
100 267;08:53:18;-00:41:14;13.027;485;-62;307;302;608
100 269;08:53:19;-00:40:54;12.350;547;-40;335;331;666
100 280;08:53:36;-00:36:24;11.799;494;-2;295;291;588
100 394;08:53:55;-00:32:04;11.384;1.317;1.457;705;636;1.341
PG0918+029D;09:21:22;+02:47:33;12.272;1.044;821;575;535;1.108
PG0918+029;09:21:28;+02:46:06;13.327;-271;-1.081;-129;-159;-288
PG0918+029B;09:21:34;+02:48:04;13.963;765;366;417;370;787
PG0918+029A;09:21:35;+02:46:23;14.490;536;-32;325;336;661
PG0918+029C;09:21:42;+02:46:41;13.537;631;87;367;357;722
-12 2918;09:31:18;-13:29:20;10.067;1.501;1.166;1.067;1.318;2.385
PG0942-029D;09:45:10;-03:05:50;13.707;564;129;348;343;687
PG0942-029A;09:45:10;-03:10:14;14.731;783;339;610;477;1.081
PG0942-029B;09:45:12;-03:06:54;14.108;525;85;368;333;697
PG0942-029;09:45:12;-03:09:21;14.004;-294;-1.175;-130;-149;-280
PG0942-029C;09:45:15;-03:06:36;14.989;727;369;539;376;909
101 315;09:54:51;-00:27:16;11.249;1.153;1.056;612;559;1.172
101 316;09:54:53;-00:18:20;11.552;493;32;293;291;584
101 L1;09:55:30;-00:21:25;16.501;757;-104;421;527;947
101 320;09:55:34;-00:22:19;13.823;1.052;690;581;561;1.141
101 L2;09:55:36;-00:18:36;15.770;602;82;321;304;625
101 404;09:55:42;-00:18:09;13.459;996;697;530;500;1.029
101 324;09:55:58;-00:23:02;9.742;1.161;1.148;591;519;1.110
101 262;09:56:08;-00:29:36;14.295;784;297;440;387;827
101 408;09:56:09;-00:12:28;14.785;1.200;1.347;718;603;1.321
101 326;09:56:09;-00:26:56;14.923;729;227;406;375;780
101 410;09:56:10;-00:13:50;13.646;546;-63;298;326;623
101 327;09:56:10;-00:25:37;13.441;1.155;1.139;717;574;1.290
101 413;09:56:15;-00:11:44;12.583;983;716;529;497;1.025
101 268;09:56:19;-00:31:43;14.380;1.531;1.381;1.040;1.200;2.237
101 330;09:56:22;-00:27:07;13.723;577;-26;346;338;684
101 415;09:56:24;-00:16:40;15.259;577;-8;346;350;695
101 270;09:56:27;-00:35:31;13.711;554;55;332;306;637
101 278;09:56:55;-00:29:26;15.494;1.041;737;596;548;1.144
101 L3;09:56:55;-00:30:15;15.953;637;-33;396;395;792
101 281;09:57:05;-00:31:26;11.575;812;419;452;412;864
101 L4;09:57:08;-00:31:16;16.264;793;362;578;62;644
101 L5;09:57:11;-00:31:25;15.928;622;115;414;305;720
101 421;09:57:17;-00:17:05;13.180;507;-31;327;296;623
101 338;09:57:19;-00:20:47;13.788;634;24;350;340;691
101 339;09:57:19;-00:24:48;14.449;850;501;458;398;857
101 424;09:57:21;-00:16:14;15.058;764;273;429;425;855
101 427;09:57:27;-00:17:04;14.964;805;321;484;369;854
101 341;09:57:31;-00:21:40;14.342;575;59;332;309;641
101 342;09:57:32;-00:21:37;15.556;529;-65;339;419;758
101 343;09:57:32;-00:22:42;15.504;606;94;396;338;734
101 429;09:57:33;-00:18:05;13.496;980;782;617;526;1.143
101 431;09:57:38;-00:17:39;13.684;1.246;1.144;808;708;1.517
101 L6;09:57:40;-00:17:40;16.497;711;183;445;583;1.024
101 207;09:57:53;-00:47:23;12.419;515;-78;321;320;641
101 363;09:58:20;-00:25:23;9.874;261;129;146;151;297
GD 108;10:00:47;-07:33:31;13.561;-215;-942;-98;-122;-220
G162 66;10:33:43;-11:40:39;13.012;-165;-996;-126;-141;-266
G44 27;10:36:02;+05:07:11;12.636;1.586;1.088;1.185;1.526;2.714
PG1034+001;10:37:17;-00:07:25;13.228;-365;-1.274;-155;-203;-359
G163 6;10:42:55;+02:47:22;14.706;1.550;1.228;1.090;1.384;2.478
PG1047+003;10:50:03;-00:00:30;13.474;-290;-1.121;-132;-162;-295
PG1047+003A;10:50:06;-00:01:06;13.512;688;168;422;418;840
PG1047+003B;10:50:09;-00:01:58;14.751;679;172;391;371;764
PG1047+003C;10:50:18;-00:00:21;12.453;607;-19;378;358;737
G44 40;10:50:54;+06:48:57;11.675;1.644;1.213;1.216;1.568;2.786
102 620;10:55:06;-00:48:13;10.069;1.083;1.020;642;524;1.167
G45 20;10:56:38;+07:02:23;13.507;2.034;1.165;1.823;2.174;4.000
102 1081;10:57:05;-00:13:04;9.903;664;255;366;333;698
G163 27;10:57:35;-07:31:23;14.338;288;-548;206;210;417
